avaliacao_id;funcionario_id;ciclo;data_avaliacao;nota_desempenho;engajamento_score;recomendado_promocao
170;100;2024-S2;2024-12-10;4.0;62;f
171;102;2024-S1;2024-06-15;4.0;76;f
172;102;2024-S2;2024-12-10;3.4;66;f
173;103;2024-S1;2024-06-15;4.2;53;f
174;103;2024-S2;2024-12-10;3.9;70;f
175;104;2024-S1;2024-06-15;3.7;68;f
176;105;2024-S1;2024-06-15;3.9;49;f
177;105;2024-S2;2024-12-10;3.8;57;f
178;106;2024-S1;2024-06-15;4.3;53;f
179;106;2024-S2;2024-12-10;2.4;48;f
180;107;2024-S1;2024-06-15;3.7;50;f
181;107;2024-S2;2024-12-10;3.0;62;f
182;108;2024-S1;2024-06-15;4.0;61;f
183;108;2024-S2;2024-12-10;3.6;68;f
184;109;2024-S1;2024-06-15;1.8;50;f
185;110;2024-S1;2024-06-15;4.9;47;f
186;110;2024-S2;2024-12-10;3.2;54;f
187;111;2024-S1;2024-06-15;3.6;51;f
188;111;2024-S2;2024-12-10;4.4;91;f
189;112;2024-S1;2024-06-15;4.1;85;f
190;112;2024-S2;2024-12-10;3.8;87;f
191;113;2024-S1;2024-06-15;3.5;64;f
192;114;2024-S1;2024-06-15;4.1;66;f
193;114;2024-S2;2024-12-10;4.9;86;t
194;115;2024-S1;2024-06-15;3.0;67;f
195;115;2024-S2;2024-12-10;3.5;65;f
196;116;2024-S1;2024-06-15;3.6;73;f
197;116;2024-S2;2024-12-10;4.4;69;f
198;117;2024-S1;2024-06-15;3.2;57;f
199;117;2024-S2;2024-12-10;3.9;83;f
200;118;2024-S1;2024-06-15;3.3;84;f
201;118;2024-S2;2024-12-10;4.9;90;f
202;119;2024-S1;2024-06-15;3.9;45;f
203;119;2024-S2;2024-12-10;3.8;78;f
204;120;2024-S2;2024-12-10;3.9;59;f
205;121;2024-S2;2024-12-10;3.3;82;f
206;122;2024-S1;2024-06-15;3.5;74;f
207;122;2024-S2;2024-12-10;2.5;71;f
208;123;2024-S1;2024-06-15;4.1;76;f
209;123;2024-S2;2024-12-10;3.6;57;f
210;124;2024-S1;2024-06-15;2.7;61;f
211;124;2024-S2;2024-12-10;4.3;71;f
212;125;2024-S1;2024-06-15;4.1;92;f
213;125;2024-S2;2024-12-10;3.8;83;f
214;126;2024-S1;2024-06-15;4.3;52;f
215;126;2024-S2;2024-12-10;3.3;48;f
216;127;2024-S1;2024-06-15;2.7;65;f
217;127;2024-S2;2024-12-10;3.6;45;f
218;129;2024-S1;2024-06-15;4.0;65;f
219;129;2024-S2;2024-12-10;4.5;74;f
220;130;2024-S1;2024-06-15;3.8;69;f
221;130;2024-S2;2024-12-10;3.6;77;f
222;131;2024-S1;2024-06-15;4.2;53;f
223;131;2024-S2;2024-12-10;3.2;76;f
224;133;2024-S1;2024-06-15;3.7;83;f
225;133;2024-S2;2024-12-10;3.3;89;f
226;134;2024-S1;2024-06-15;3.4;67;f
227;134;2024-S2;2024-12-10;4.3;79;f
228;135;2024-S1;2024-06-15;4.8;85;t
229;135;2024-S2;2024-12-10;3.7;91;f
230;136;2024-S1;2024-06-15;3.9;100;f
231;136;2024-S2;2024-12-10;3.1;64;f
232;137;2024-S1;2024-06-15;3.4;74;f
233;137;2024-S2;2024-12-10;3.8;77;f
234;138;2024-S1;2024-06-15;3.8;79;f
235;138;2024-S2;2024-12-10;3.4;78;f
236;139;2024-S1;2024-06-15;5.0;72;f
237;139;2024-S2;2024-12-10;2.9;63;f
238;140;2024-S1;2024-06-15;2.3;32;f
239;141;2024-S2;2024-12-10;3.8;83;f
240;142;2024-S1;2024-06-15;3.0;48;f
241;142;2024-S2;2024-12-10;5.0;58;f
242;143;2024-S1;2024-06-15;4.5;82;t
243;143;2024-S2;2024-12-10;3.2;60;f
244;144;2024-S1;2024-06-15;3.5;63;f
245;144;2024-S2;2024-12-10;2.8;90;f
246;145;2024-S2;2024-12-10;3.8;93;f
247;146;2024-S1;2024-06-15;3.6;51;f
248;146;2024-S2;2024-12-10;4.3;75;f
249;147;2024-S1;2024-06-15;3.6;88;f
250;147;2024-S2;2024-12-10;3.0;85;f
251;148;2024-S1;2024-06-15;4.1;75;f
252;148;2024-S2;2024-12-10;2.9;85;f
253;149;2024-S1;2024-06-15;4.1;75;f
254;149;2024-S2;2024-12-10;3.7;56;f
255;150;2024-S1;2024-06-15;3.1;61;f
256;150;2024-S2;2024-12-10;2.8;50;f
257;151;2024-S1;2024-06-15;3.5;53;f
258;152;2024-S1;2024-06-15;3.6;72;f
259;152;2024-S2;2024-12-10;2.9;83;f
260;153;2024-S1;2024-06-15;3.2;14;f
261;154;2024-S1;2024-06-15;4.4;79;f
262;154;2024-S2;2024-12-10;3.8;92;f
263;155;2024-S1;2024-06-15;3.8;61;f
264;155;2024-S2;2024-12-10;2.9;70;f
265;156;2024-S1;2024-06-15;3.6;48;f
266;156;2024-S2;2024-12-10;3.5;93;f
267;157;2024-S1;2024-06-15;4.0;53;f
268;157;2024-S2;2024-12-10;3.9;81;f
269;158;2024-S1;2024-06-15;4.3;80;f
270;158;2024-S2;2024-12-10;4.3;82;f
271;160;2024-S1;2024-06-15;3.6;76;f
272;160;2024-S2;2024-12-10;3.6;77;f
273;161;2024-S1;2024-06-15;4.1;70;f
274;162;2024-S1;2024-06-15;3.9;65;f
275;162;2024-S2;2024-12-10;3.5;71;f
276;163;2024-S1;2024-06-15;3.4;90;f
277;163;2024-S2;2024-12-10;4.0;82;f
278;164;2024-S1;2024-06-15;4.0;74;f
279;164;2024-S2;2024-12-10;3.0;87;f
280;166;2024-S1;2024-06-15;4.8;81;f
281;166;2024-S2;2024-12-10;3.5;63;f
282;167;2024-S1;2024-06-15;3.8;55;f
283;167;2024-S2;2024-12-10;4.2;69;f
284;168;2024-S1;2024-06-15;3.2;81;f
285;168;2024-S2;2024-12-10;4.0;83;f
286;169;2024-S1;2024-06-15;3.0;82;f
287;169;2024-S2;2024-12-10;4.7;71;f
288;170;2024-S1;2024-06-15;3.6;52;f
289;170;2024-S2;2024-12-10;3.7;57;f
290;171;2024-S1;2024-06-15;4.3;100;f
291;172;2024-S1;2024-06-15;5.0;60;f
292;172;2024-S2;2024-12-10;3.3;80;f
293;173;2024-S1;2024-06-15;3.6;72;f
294;173;2024-S2;2024-12-10;5.0;56;f
295;174;2024-S2;2024-12-10;3.8;77;f
296;175;2024-S1;2024-06-15;4.3;59;f
297;175;2024-S2;2024-12-10;4.5;75;f
298;176;2024-S1;2024-06-15;3.2;69;f
299;176;2024-S2;2024-12-10;4.3;100;f
300;177;2024-S1;2024-06-15;3.5;100;f
301;178;2024-S1;2024-06-15;4.4;64;f
302;178;2024-S2;2024-12-10;4.0;84;f
303;179;2024-S1;2024-06-15;3.6;62;f
304;180;2024-S1;2024-06-15;3.6;66;f
305;180;2024-S2;2024-12-10;3.9;100;f
306;181;2024-S1;2024-06-15;2.9;70;f
307;182;2024-S1;2024-06-15;4.0;100;f
308;182;2024-S2;2024-12-10;3.3;43;f
309;183;2024-S1;2024-06-15;3.9;77;f
310;183;2024-S2;2024-12-10;4.6;98;t
311;184;2024-S1;2024-06-15;3.4;53;f
312;184;2024-S2;2024-12-10;4.3;73;f
313;185;2024-S1;2024-06-15;4.9;58;f
314;185;2024-S2;2024-12-10;3.8;89;f
315;186;2024-S1;2024-06-15;3.2;89;f
316;186;2024-S2;2024-12-10;3.9;57;f
317;187;2024-S1;2024-06-15;4.4;69;f
318;187;2024-S2;2024-12-10;4.4;62;f
319;189;2024-S2;2024-12-10;2.9;65;f
320;190;2024-S1;2024-06-15;3.6;74;f
321;190;2024-S2;2024-12-10;4.0;99;f
322;194;2024-S1;2024-06-15;3.6;96;f
323;194;2024-S2;2024-12-10;4.3;70;f
324;195;2024-S1;2024-06-15;3.9;77;f
325;195;2024-S2;2024-12-10;4.3;88;f
326;196;2024-S1;2024-06-15;2.9;85;f
327;196;2024-S2;2024-12-10;3.9;77;f
328;197;2024-S1;2024-06-15;3.6;81;f
329;197;2024-S2;2024-12-10;4.2;73;f
330;198;2024-S1;2024-06-15;4.3;63;f
331;198;2024-S2;2024-12-10;3.7;77;f
332;199;2024-S1;2024-06-15;3.5;67;f
333;199;2024-S2;2024-12-10;3.2;78;f
334;200;2024-S1;2024-06-15;4.8;80;f
335;200;2024-S2;2024-12-10;4.1;71;f
336;201;2024-S1;2024-06-15;2.8;70;f
337;201;2024-S2;2024-12-10;4.6;86;t
338;202;2024-S1;2024-06-15;3.4;94;f
339;202;2024-S2;2024-12-10;4.3;65;f
340;203;2024-S1;2024-06-15;3.8;58;f
341;203;2024-S2;2024-12-10;4.2;58;f
342;204;2024-S1;2024-06-15;4.0;98;f
343;204;2024-S2;2024-12-10;3.4;78;f
344;206;2024-S1;2024-06-15;2.9;73;f
345;206;2024-S2;2024-12-10;3.2;76;f
346;207;2024-S1;2024-06-15;3.5;59;f
347;207;2024-S2;2024-12-10;3.7;36;f
348;208;2024-S1;2024-06-15;3.2;100;f
349;208;2024-S2;2024-12-10;3.6;66;f
350;209;2024-S1;2024-06-15;4.0;88;f
351;209;2024-S2;2024-12-10;4.7;72;f
352;210;2024-S1;2024-06-15;3.7;79;f
353;210;2024-S2;2024-12-10;3.8;71;f
354;211;2024-S1;2024-06-15;4.1;81;f
355;211;2024-S2;2024-12-10;3.8;100;f
356;212;2024-S1;2024-06-15;4.8;81;t
357;212;2024-S2;2024-12-10;3.8;73;f
358;213;2024-S1;2024-06-15;2.6;88;f
359;213;2024-S2;2024-12-10;3.2;79;f
360;214;2024-S1;2024-06-15;3.7;74;f
361;214;2024-S2;2024-12-10;3.7;61;f
362;215;2024-S1;2024-06-15;3.2;85;f
363;215;2024-S2;2024-12-10;3.7;62;f
364;216;2024-S1;2024-06-15;3.4;81;f
365;216;2024-S2;2024-12-10;3.3;94;f
366;217;2024-S1;2024-06-15;3.6;67;f
367;217;2024-S2;2024-12-10;4.0;68;f
368;218;2024-S1;2024-06-15;3.9;71;f
369;218;2024-S2;2024-12-10;2.7;57;f
370;219;2024-S1;2024-06-15;3.9;65;f
371;219;2024-S2;2024-12-10;4.8;60;f
372;220;2024-S1;2024-06-15;3.0;72;f
373;220;2024-S2;2024-12-10;3.8;84;f
374;221;2024-S1;2024-06-15;2.3;93;f
375;221;2024-S2;2024-12-10;3.0;87;f
376;222;2024-S1;2024-06-15;4.8;82;t
377;222;2024-S2;2024-12-10;3.7;55;f
378;223;2024-S1;2024-06-15;3.7;82;f
379;224;2024-S1;2024-06-15;3.8;70;f
380;224;2024-S2;2024-12-10;3.4;54;f
381;225;2024-S1;2024-06-15;2.7;60;f
382;225;2024-S2;2024-12-10;4.4;66;f
383;226;2024-S1;2024-06-15;3.6;50;f
384;226;2024-S2;2024-12-10;3.7;66;f
385;227;2024-S1;2024-06-15;3.5;63;f
386;227;2024-S2;2024-12-10;3.4;68;f
387;228;2024-S1;2024-06-15;3.7;40;f
388;228;2024-S2;2024-12-10;2.8;64;f
389;229;2024-S1;2024-06-15;4.2;52;f
390;229;2024-S2;2024-12-10;4.0;95;f
391;230;2024-S1;2024-06-15;3.6;65;f
392;230;2024-S2;2024-12-10;4.0;73;f
393;231;2024-S1;2024-06-15;3.4;75;f
394;231;2024-S2;2024-12-10;3.3;91;f
395;232;2024-S1;2024-06-15;3.6;77;f
396;232;2024-S2;2024-12-10;4.6;69;f
397;233;2024-S1;2024-06-15;3.3;63;f
398;234;2024-S1;2024-06-15;3.7;69;f
399;234;2024-S2;2024-12-10;3.6;76;f
400;235;2024-S1;2024-06-15;3.8;65;f
401;235;2024-S2;2024-12-10;3.7;62;f
402;236;2024-S1;2024-06-15;3.4;39;f
403;237;2024-S1;2024-06-15;3.2;83;f
404;237;2024-S2;2024-12-10;4.0;82;f
405;238;2024-S1;2024-06-15;3.9;65;f
406;238;2024-S2;2024-12-10;3.0;67;f
407;239;2024-S1;2024-06-15;2.0;87;f
408;239;2024-S2;2024-12-10;3.8;83;f
409;240;2024-S1;2024-06-15;3.4;49;f
410;240;2024-S2;2024-12-10;3.8;74;f
411;241;2024-S1;2024-06-15;3.6;75;f
412;241;2024-S2;2024-12-10;3.4;74;f
413;242;2024-S1;2024-06-15;4.0;95;f
414;242;2024-S2;2024-12-10;4.1;54;f
415;243;2024-S1;2024-06-15;3.5;60;f
416;243;2024-S2;2024-12-10;4.5;65;f
417;244;2024-S1;2024-06-15;3.6;70;f
418;244;2024-S2;2024-12-10;3.9;55;f
419;245;2024-S1;2024-06-15;3.7;85;f
420;245;2024-S2;2024-12-10;3.5;97;f
421;246;2024-S1;2024-06-15;3.2;64;f
422;247;2024-S2;2024-12-10;4.1;72;f
423;248;2024-S1;2024-06-15;3.6;56;f
424;248;2024-S2;2024-12-10;3.4;97;f
425;249;2024-S1;2024-06-15;3.9;80;f
426;249;2024-S2;2024-12-10;3.4;74;f
427;251;2024-S2;2024-12-10;3.5;54;f
428;252;2024-S1;2024-06-15;3.3;64;f
429;252;2024-S2;2024-12-10;4.9;98;f
430;255;2024-S1;2024-06-15;3.7;66;f
431;255;2024-S2;2024-12-10;4.1;46;f
432;256;2024-S1;2024-06-15;4.7;70;f
433;256;2024-S2;2024-12-10;3.0;35;f
434;257;2024-S1;2024-06-15;3.6;75;f
435;257;2024-S2;2024-12-10;3.9;51;f
436;258;2024-S1;2024-06-15;3.0;90;f
437;258;2024-S2;2024-12-10;2.8;73;f
438;259;2024-S1;2024-06-15;3.5;64;f
439;259;2024-S2;2024-12-10;3.5;64;f
440;260;2024-S2;2024-12-10;3.4;85;f
441;261;2024-S1;2024-06-15;3.5;54;f
442;261;2024-S2;2024-12-10;3.7;57;f
443;262;2024-S1;2024-06-15;3.1;92;f
444;262;2024-S2;2024-12-10;3.6;54;f
445;263;2024-S1;2024-06-15;3.6;72;f
446;263;2024-S2;2024-12-10;3.6;65;f
447;264;2024-S1;2024-06-15;2.9;66;f
448;264;2024-S2;2024-12-10;3.3;70;f
449;265;2024-S2;2024-12-10;3.9;96;f
450;266;2024-S1;2024-06-15;4.1;33;f
451;266;2024-S2;2024-12-10;3.8;93;f
452;267;2024-S1;2024-06-15;3.6;93;f
453;267;2024-S2;2024-12-10;3.1;59;f
454;269;2024-S1;2024-06-15;3.6;69;f
455;269;2024-S2;2024-12-10;4.2;72;f
456;270;2024-S1;2024-06-15;3.6;100;f
457;270;2024-S2;2024-12-10;3.3;90;f
458;271;2024-S2;2024-12-10;3.9;66;f
459;272;2024-S1;2024-06-15;3.8;60;f
460;272;2024-S2;2024-12-10;3.7;71;f
461;273;2024-S1;2024-06-15;4.0;70;f
462;275;2024-S1;2024-06-15;4.6;59;f
463;275;2024-S2;2024-12-10;3.3;75;f
464;276;2024-S1;2024-06-15;3.3;81;f
465;276;2024-S2;2024-12-10;4.4;64;f
466;277;2024-S2;2024-12-10;3.7;81;f
467;278;2024-S1;2024-06-15;4.2;100;f
468;278;2024-S2;2024-12-10;3.0;92;f
469;279;2024-S1;2024-06-15;3.3;63;f
470;279;2024-S2;2024-12-10;3.8;72;f
471;280;2024-S1;2024-06-15;4.4;51;f
472;280;2024-S2;2024-12-10;2.1;99;f
473;281;2024-S1;2024-06-15;2.9;86;f
474;281;2024-S2;2024-12-10;4.5;87;f
475;282;2024-S1;2024-06-15;3.2;88;f
476;282;2024-S2;2024-12-10;3.1;70;f
477;283;2024-S1;2024-06-15;3.8;48;f
478;283;2024-S2;2024-12-10;3.8;59;f
479;285;2024-S1;2024-06-15;3.5;70;f
480;285;2024-S2;2024-12-10;2.8;64;f
481;286;2024-S1;2024-06-15;3.6;66;f
482;286;2024-S2;2024-12-10;3.2;53;f
483;287;2024-S1;2024-06-15;3.1;44;f
484;287;2024-S2;2024-12-10;3.2;89;f
485;288;2024-S1;2024-06-15;2.9;84;f
486;288;2024-S2;2024-12-10;3.0;79;f
487;289;2024-S1;2024-06-15;5.0;80;t
488;289;2024-S2;2024-12-10;3.9;82;f
489;290;2024-S1;2024-06-15;3.2;85;f
490;290;2024-S2;2024-12-10;4.6;75;f
491;292;2024-S1;2024-06-15;2.7;44;f
492;292;2024-S2;2024-12-10;3.8;63;f
493;293;2024-S1;2024-06-15;3.2;69;f
494;293;2024-S2;2024-12-10;3.5;69;f
495;294;2024-S1;2024-06-15;3.2;99;f
496;294;2024-S2;2024-12-10;3.1;68;f
497;295;2024-S1;2024-06-15;2.6;55;f
498;295;2024-S2;2024-12-10;3.0;64;f
499;296;2024-S1;2024-06-15;3.6;66;f
500;296;2024-S2;2024-12-10;3.4;74;f
501;297;2024-S1;2024-06-15;3.9;38;f
502;297;2024-S2;2024-12-10;4.3;75;f
503;298;2024-S1;2024-06-15;2.6;84;f
504;298;2024-S2;2024-12-10;4.3;44;f
505;299;2024-S1;2024-06-15;3.5;75;f
506;299;2024-S2;2024-12-10;4.3;78;f
507;300;2024-S1;2024-06-15;3.4;56;f
508;300;2024-S2;2024-12-10;2.9;59;f
509;302;2024-S1;2024-06-15;4.0;84;f
510;302;2024-S2;2024-12-10;3.5;87;f
511;303;2024-S1;2024-06-15;3.9;100;f
512;303;2024-S2;2024-12-10;2.7;68;f
513;304;2024-S1;2024-06-15;3.8;97;f
514;304;2024-S2;2024-12-10;2.9;58;f
515;305;2024-S2;2024-12-10;3.7;54;f
516;306;2024-S1;2024-06-15;3.6;49;f
517;306;2024-S2;2024-12-10;4.4;95;f
518;307;2024-S1;2024-06-15;4.6;74;f
519;307;2024-S2;2024-12-10;3.8;71;f
520;308;2024-S1;2024-06-15;4.2;89;f
521;308;2024-S2;2024-12-10;4.1;75;f
522;309;2024-S1;2024-06-15;4.1;71;f
523;309;2024-S2;2024-12-10;3.0;63;f
524;310;2024-S1;2024-06-15;3.8;59;f
525;310;2024-S2;2024-12-10;3.2;80;f
526;311;2024-S1;2024-06-15;4.1;76;f
527;311;2024-S2;2024-12-10;3.4;67;f
528;312;2024-S1;2024-06-15;4.1;59;f
529;312;2024-S2;2024-12-10;2.9;79;f
530;314;2024-S1;2024-06-15;3.6;90;f
531;314;2024-S2;2024-12-10;3.1;87;f
532;315;2024-S1;2024-06-15;3.4;82;f
533;315;2024-S2;2024-12-10;3.0;49;f
534;316;2024-S1;2024-06-15;3.9;68;f
535;316;2024-S2;2024-12-10;3.8;58;f
536;317;2024-S1;2024-06-15;3.9;89;f
537;317;2024-S2;2024-12-10;4.3;62;f
538;318;2024-S1;2024-06-15;3.0;71;f
539;318;2024-S2;2024-12-10;4.2;48;f
540;319;2024-S1;2024-06-15;4.0;100;f
541;319;2024-S2;2024-12-10;4.1;50;f
542;320;2024-S1;2024-06-15;3.1;62;f
543;320;2024-S2;2024-12-10;3.6;76;f
544;321;2024-S1;2024-06-15;4.1;67;f
545;321;2024-S2;2024-12-10;3.8;56;f
546;322;2024-S1;2024-06-15;3.3;84;f
547;322;2024-S2;2024-12-10;3.9;80;f
548;323;2024-S1;2024-06-15;3.1;71;f
549;323;2024-S2;2024-12-10;3.7;76;f
550;324;2024-S1;2024-06-15;4.3;72;f
551;324;2024-S2;2024-12-10;4.6;44;f
552;325;2024-S1;2024-06-15;3.5;86;f
553;325;2024-S2;2024-12-10;3.3;83;f
554;326;2024-S2;2024-12-10;2.7;71;f
555;327;2024-S1;2024-06-15;3.6;70;f
